Slot  #,Requester    ID,Responder  ID,Pii ,Chan.,Antenna  Mode,Req.  Data,Rsp.  Data,Type,Sleep,Manual  Time  (ms),Minimum  Time  (ms)
0,100,101,5,6,Antenna  A,1,1,Data,6,4500,0
1,300,100,5,0,Antenna  A,1,1,Range,1,11000,0
2,300,101,5,1,Antenna  A,1,1,Range,1,11000,0
3,300,102,5,2,Antenna  A,1,1,Range,1,11000,0
4,300,103,5,3,Antenna  A,1,1,Range,1,11000,0
5,300,104,5,4,Antenna  A,1,1,Range,1,11000,0
6,300,105,5,5,Antenna  A,1,1,Range,1,11000,0
