Slot  #,Requester    ID,Responder  ID,Pii ,Chan.,Antenna  Mode,Req.  Data,Rsp.  Data,Type,Sleep,Manual  Time  (ms),Minimum  Time  (ms)
0,101,102,5,6,Antenna  B,1,1,Data,6,4500,0
1,302,102,5,2,Antenna  B,1,1,Range,1,11000,0
2,302,103,5,3,Antenna  B,1,1,Range,1,11000,0
3,302,104,5,4,Antenna  B,1,1,Range,1,11000,0
4,302,105,5,5,Antenna  B,1,1,Range,1,11000,0
5,302,106,5,6,Antenna  B,1,1,Range,1,11000,0
6,302,101,5,1,Antenna  B,1,1,Range,1,11000,0
