Slot  #,Requester    ID,Responder  ID,Pii ,Chan.,Antenna  Mode,Req.  Data,Rsp.  Data,Type,Sleep,Manual  Time  (ms),Minimum  Time  (ms)
0,101,102,5,0,Antenna  A,1,1,Data,6,4500,0
1,303,103,5,3,Antenna  A,1,1,Range,1,10500,0
2,303,303,5,0,Antenna  A,1,1,Data,6,10500,0
3,303,104,5,4,Antenna  A,1,1,Range,1,10500,0
4,303,303,5,0,Antenna  A,1,1,Data,6,10500,0
5,303,105,5,5,Antenna  A,1,1,Range,1,10500,0
6,303,303,5,0,Antenna  A,1,1,Data,6,10500,0
7,303,106,5,6,Antenna  A,1,1,Range,1,10500,0
8,303,303,5,0,Antenna  A,1,1,Data,6,10500,0
9,303,101,5,1,Antenna  A,1,1,Range,1,10500,0
10,303,303,5,0,Antenna  A,1,1,Data,6,10500,0
11,303,102,5,2,Antenna  A,1,1,Range,1,10500,0
12,303,303,5,0,Antenna  A,1,1,Data,6,10500,0
