Slot  #,Requester    ID,Responder  ID,Pii ,Chan.,Antenna  Mode,Req.  Data,Rsp.  Data,Type,Sleep,Manual  Time  (ms),Minimum  Time  (ms)
0,101,102,5,0,Antenna  A,1,1,Data,6,4500,0
1,306,106,5,6,Antenna  A,1,1,Range,1,10500,0
2,302,106,5,6,Antenna  A,1,1,Range,1,10500,0
3,305,106,5,6,Antenna  A,1,1,Range,1,10500,0
4,301,106,5,6,Antenna  A,1,1,Range,1,10500,0
5,304,106,5,6,Antenna  A,1,1,Range,1,10500,0
6,310,106,5,6,Antenna  A,1,1,Range,1,10500,0
7,303,106,5,6,Antenna  A,1,1,Range,1,10500,0
8,309,106,5,6,Antenna  A,1,1,Range,1,10500,0
9,302,106,5,6,Antenna  A,1,1,Range,1,10500,0
10,308,106,5,6,Antenna  A,1,1,Range,1,10500,0
11,301,106,5,6,Antenna  A,1,1,Range,1,10500,0
12,307,106,5,6,Antenna  A,1,1,Range,1,10500,0
